date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:05:42	36360/36360	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Mar%202021%2002:46:33%20GMT	https://demo.zytheme.com/equita/service-supply.html	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/service-supply.html	(from https://demo.zytheme.com/equita/home-modern.html)
12:05:43	36351/36351	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Mar%202021%2002:46:32%20GMT	https://demo.zytheme.com/equita/service-packaging.html	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/service-packaging.html	(from https://demo.zytheme.com/equita/home-modern.html)
12:05:43	50998/50998	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Mar%202021%2002:46:26%20GMT	https://demo.zytheme.com/equita/industry-retail.html	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/industry-retail.html	(from https://demo.zytheme.com/equita/home-modern.html)
12:05:43	51010/51010	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Mar%202021%2002:46:26%20GMT	https://demo.zytheme.com/equita/industry-science.html	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/industry-science.html	(from https://demo.zytheme.com/equita/home-modern.html)
12:05:44	51010/51010	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Mar%202021%2002:46:24%20GMT	https://demo.zytheme.com/equita/industry-chemical.html	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/industry-chemical.html	(from https://demo.zytheme.com/equita/home-modern.html)
12:05:45	50983/50983	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Mar%202021%2002:46:26%20GMT	https://demo.zytheme.com/equita/industry-power.html	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/industry-power.html	(from https://demo.zytheme.com/equita/home-modern.html)
12:05:46	50974/50974	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Mar%202021%2002:46:25%20GMT	https://demo.zytheme.com/equita/industry-oil.html	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/industry-oil.html	(from https://demo.zytheme.com/equita/home-modern.html)
12:05:46	28856/28856	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Mar%202021%2002:46:18%20GMT	https://demo.zytheme.com/equita/blog-grid-fullwidth.html	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/blog-grid-fullwidth.html	(from https://demo.zytheme.com/equita/home-modern.html)
12:05:46	50992/50992	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Mar%202021%2002:46:25%20GMT	https://demo.zytheme.com/equita/industry-food.html	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/industry-food.html	(from https://demo.zytheme.com/equita/home-modern.html)
12:05:47	50245/50245	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Mar%202021%2002:46:30%20GMT	https://demo.zytheme.com/equita/page-our-services.html	C:/Users/dahur/Downloads/fam/demo.zytheme.com/equita/page-our-services.html	(from https://demo.zytheme.com/equita/home-modern.html)
